oracle_natural_account,description,parent1_code,parent1_description,parent2_code,parent2_description,parent3_code,parent3_description,parent4_code,parent4_description,parent5_code,parent5_description,financial_category,financial_sub_category,danaos_name,danaos_description_details,danaos_description_sub,danaos_description_main
615556,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615558,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615172,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615522,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615524,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615526,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615528,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615532,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615534,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615536,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615538,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615512,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615174,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615514,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615516,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615518,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615554,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615562,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615564,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615566,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615568,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615572,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615576,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615578,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615582,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616208,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616212,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616216,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616218,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616222,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616224,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616226,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616168,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616172,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616174,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616176,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616178,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616182,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616184,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616186,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616192,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616194,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616198,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616202,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616206,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616112,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616114,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616118,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616122,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616124,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616126,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616132,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616136,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616138,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616144,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616146,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616148,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616152,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616142,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616612,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616614,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616616,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616618,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616622,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616196,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616228,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616232,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616234,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616116,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616134,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616214,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616188,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616426,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616428,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616412,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616414,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616416,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616418,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616422,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616424,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616432,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616434,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
616436,,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,616000,OTHER VOYAGE EXPENSES,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
